englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,subject
"Math Word 178","ಗಣಿತ ಪದ 178","Math Word 178","ವಿವರಣೆ 178","Explanation 178","Example 178","Math"
"Math Word 179","ಗಣಿತ ಪದ 179","Math Word 179","ವಿವರಣೆ 179","Explanation 179","Example 179","Math"
"Math Word 180","ಗಣಿತ ಪದ 180","Math Word 180","ವಿವರಣೆ 180","Explanation 180","Example 180","Math"
"Math Word 181","ಗಣಿತ ಪದ 181","Math Word 181","ವಿವರಣೆ 181","Explanation 181","Example 181","Math"
"Math Word 182","ಗಣಿತ ಪದ 182","Math Word 182","ವಿವರಣೆ 182","Explanation 182","Example 182","Math"
"Math Word 183","ಗಣಿತ ಪದ 183","Math Word 183","ವಿವರಣೆ 183","Explanation 183","Example 183","Math"
"Math Word 184","ಗಣಿತ ಪದ 184","Math Word 184","ವಿವರಣೆ 184","Explanation 184","Example 184","Math"
"Math Word 185","ಗಣಿತ ಪದ 185","Math Word 185","ವಿವರಣೆ 185","Explanation 185","Example 185","Math"
"Math Word 186","ಗಣಿತ ಪದ 186","Math Word 186","ವಿವರಣೆ 186","Explanation 186","Example 186","Math"
"Math Word 187","ಗಣಿತ ಪದ 187","Math Word 187","ವಿವರಣೆ 187","Explanation 187","Example 187","Math"
"Math Word 188","ಗಣಿತ ಪದ 188","Math Word 188","ವಿವರಣೆ 188","Explanation 188","Example 188","Math"
"Math Word 189","ಗಣಿತ ಪದ 189","Math Word 189","ವಿವರಣೆ 189","Explanation 189","Example 189","Math"
"Math Word 190","ಗಣಿತ ಪದ 190","Math Word 190","ವಿವರಣೆ 190","Explanation 190","Example 190","Math"
"Math Word 191","ಗಣಿತ ಪದ 191","Math Word 191","ವಿವರಣೆ 191","Explanation 191","Example 191","Math"
"Math Word 192","ಗಣಿತ ಪದ 192","Math Word 192","ವಿವರಣೆ 192","Explanation 192","Example 192","Math"
"Math Word 193","ಗಣಿತ ಪದ 193","Math Word 193","ವಿವರಣೆ 193","Explanation 193","Example 193","Math"
"Math Word 194","ಗಣಿತ ಪದ 194","Math Word 194","ವಿವರಣೆ 194","Explanation 194","Example 194","Math"
"Math Word 195","ಗಣಿತ ಪದ 195","Math Word 195","ವಿವರಣೆ 195","Explanation 195","Example 195","Math"
"Math Word 196","ಗಣಿತ ಪದ 196","Math Word 196","ವಿವರಣೆ 196","Explanation 196","Example 196","Math"
"Math Word 197","ಗಣಿತ ಪದ 197","Math Word 197","ವಿವರಣೆ 197","Explanation 197","Example 197","Math"
"Math Word 198","ಗಣಿತ ಪದ 198","Math Word 198","ವಿವರಣೆ 198","Explanation 198","Example 198","Math"
"Math Word 199","ಗಣಿತ ಪದ 199","Math Word 199","ವಿವರಣೆ 199","Explanation 199","Example 199","Math"
"Math Word 200","ಗಣಿತ ಪದ 200","Math Word 200","ವಿವರಣೆ 200","Explanation 200","Example 200","Math"
"Inflation","ಹಣದುಬ್ಬರ","Inflation","ಬೆಲೆ ಏರಿಕೆ.","Price increase.","Inflation affects costs.","Commerce"
"Liability","ಹೊಣೆಗಾರಿಕೆ","Liability","ಸಾಲ.","Money owed.","Loan is a liability.","Commerce"
"Asset","ಆಸ್ತಿ","Asset","ಮೌಲ್ಯವಿರುವ ವಸ್ತು.","Owned value.","Cash is an asset.","Commerce"
"Shares","ಷೇರುಗಳು","Shares","ಕಂಪನಿಯ ಭಾಗ.","Stock units.","Buying shares.","Commerce"
"Dividend","ಲಾಭಾಂಶ","Dividend","ಲಾಭದ ಭಾಗ.","Profit share.","Receive dividends.","Commerce"
"Marketing","ಮಾರಾಟ ಪ್ರಕ್ರಿಯೆ","Marketing","ಗ್ರಾಹಕರ ಸೆಳೆಯುವುದು.","Selling activities.","Marketing strategy.","Commerce"
"Market","ಮಾರುಕಟ್ಟೆ","Market","ವ್ಯಾಪಾರ ಸ್ಥಳ.","Trading place.","Stock market.","Commerce"
"Demand","ಬೇಡಿಕೆ","Demand","ಕೊಳ್ಳುವ ಆಸೆ.","Buyer desire.","High demand.","Commerce"
"Supply","ಪೂರೈಕೆ","Supply","ಸರಕು ನೀಡಿಕೆ.","Seller amount.","Supply chain.","Commerce"
"Consumer","ಗ್ರಾಹಕ","Consumer","ಬಳಕೆದಾರ.","Buyer.","Protect consumers.","Commerce"
"Management","ನಿರ್ವಹಣೆ","Management","ಕೆಲಸದ ಯೋಜನೆ.","Organizing work.","Good management.","Commerce"
"Bank","ಬ್ಯಾಂಕ್","Bank","ಹಣಕಾಸು ಸಂಸ್ಥೆ.","Money store.","Save in bank.","Commerce"
"Interest","ಬಡ್ಡಿ","Interest","ಹೆಚ್ಚುವರಿ ಹಣ.","Money cost.","Pay interest.","Commerce"
"Loan","ಸಾಲ","Loan","ಉದ್ರಿ.","Borrowed money.","Bank loan.","Commerce"
"Tax","ತೆರಿಗೆ","Tax","ಸರ್ಕಾರದ ಹಣ.","Government levy.","Pay income tax.","Commerce"
"Investment","ಹೂಡಿಕೆ","Investment","ಹಣ ತೊಡಗಿಸುವುದು.","Capital spend.","Long-term investment.","Commerce"
"Budget","ಬಜೆಟ್","Budget","ಆದಾಯ-ವೆಚ್ಚದ ಪಟ್ಟಿ.","Financial plan.","Annual budget.","Commerce"
"Audit","ಲೆಕ್ಕ ಪರಿಶೋಧನೆ","Audit","ಲೆಕ್ಕ ತಪಾಸಣೆ.","Examining accounts.","Conduct an audit.","Commerce"
"Capital","ಬಂಡವಾಳ","Capital","ಆರಂಭಿಕ ಹಣ.","Business funds.","Need capital.","Commerce"
"Revenue","ಆದಾಯ","Revenue","ಒಟ್ಟು ಸಂಪಾದನೆ.","Total income.","Increase revenue.","Commerce"
"Commerce Word 21","ವಾಣಿಜ್ಯ ಪದ 21","Commerce Word 21","ವಿವರಣೆ 21","Explanation 21","Example 21","Commerce"
"Commerce Word 22","ವಾಣಿಜ್ಯ ಪದ 22","Commerce Word 22","ವಿವರಣೆ 22","Explanation 22","Example 22","Commerce"
"Commerce Word 23","ವಾಣಿಜ್ಯ ಪದ 23","Commerce Word 23","ವಿವರಣೆ 23","Explanation 23","Example 23","Commerce"
"Commerce Word 24","ವಾಣಿಜ್ಯ ಪದ 24","Commerce Word 24","ವಿವರಣೆ 24","Explanation 24","Example 24","Commerce"
"Commerce Word 25","ವಾಣಿಜ್ಯ ಪದ 25","Commerce Word 25","ವಿವರಣೆ 25","Explanation 25","Example 25","Commerce"
"Commerce Word 26","ವಾಣಿಜ್ಯ ಪದ 26","Commerce Word 26","ವಿವರಣೆ 26","Explanation 26","Example 26","Commerce"
"Commerce Word 27","ವಾಣಿಜ್ಯ ಪದ 27","Commerce Word 27","ವಿವರಣೆ 27","Explanation 27","Example 27","Commerce"
"Commerce Word 28","ವಾಣಿಜ್ಯ ಪದ 28","Commerce Word 28","ವಿವರಣೆ 28","Explanation 28","Example 28","Commerce"
"Commerce Word 29","ವಾಣಿಜ್ಯ ಪದ 29","Commerce Word 29","ವಿವರಣೆ 29","Explanation 29","Example 29","Commerce"
"Commerce Word 30","ವಾಣಿಜ್ಯ ಪದ 30","Commerce Word 30","ವಿವರಣೆ 30","Explanation 30","Example 30","Commerce"
"Commerce Word 31","ವಾಣಿಜ್ಯ ಪದ 31","Commerce Word 31","ವಿವರಣೆ 31","Explanation 31","Example 31","Commerce"
"Commerce Word 32","ವಾಣಿಜ್ಯ ಪದ 32","Commerce Word 32","ವಿವರಣೆ 32","Explanation 32","Example 32","Commerce"
"Commerce Word 33","ವಾಣಿಜ್ಯ ಪದ 33","Commerce Word 33","ವಿವರಣೆ 33","Explanation 33","Example 33","Commerce"
"Commerce Word 34","ವಾಣಿಜ್ಯ ಪದ 34","Commerce Word 34","ವಿವರಣೆ 34","Explanation 34","Example 34","Commerce"
"Commerce Word 35","ವಾಣಿಜ್ಯ ಪದ 35","Commerce Word 35","ವಿವರಣೆ 35","Explanation 35","Example 35","Commerce"
"Commerce Word 36","ವಾಣಿಜ್ಯ ಪದ 36","Commerce Word 36","ವಿವರಣೆ 36","Explanation 36","Example 36","Commerce"
"Commerce Word 37","ವಾಣಿಜ್ಯ ಪದ 37","Commerce Word 37","ವಿವರಣೆ 37","Explanation 37","Example 37","Commerce"
"Commerce Word 38","ವಾಣಿಜ್ಯ ಪದ 38","Commerce Word 38","ವಿವರಣೆ 38","Explanation 38","Example 38","Commerce"
"Commerce Word 39","ವಾಣಿಜ್ಯ ಪದ 39","Commerce Word 39","ವಿವರಣೆ 39","Explanation 39","Example 39","Commerce"
"Commerce Word 40","ವಾಣಿಜ್ಯ ಪದ 40","Commerce Word 40","ವಿವರಣೆ 40","Explanation 40","Example 40","Commerce"
"Commerce Word 41","ವಾಣಿಜ್ಯ ಪದ 41","Commerce Word 41","ವಿವರಣೆ 41","Explanation 41","Example 41","Commerce"
"Commerce Word 42","ವಾಣಿಜ್ಯ ಪದ 42","Commerce Word 42","ವಿವರಣೆ 42","Explanation 42","Example 42","Commerce"
"Commerce Word 43","ವಾಣಿಜ್ಯ ಪದ 43","Commerce Word 43","ವಿವರಣೆ 43","Explanation 43","Example 43","Commerce"
"Commerce Word 44","ವಾಣಿಜ್ಯ ಪದ 44","Commerce Word 44","ವಿವರಣೆ 44","Explanation 44","Example 44","Commerce"
"Commerce Word 45","ವಾಣಿಜ್ಯ ಪದ 45","Commerce Word 45","ವಿವರಣೆ 45","Explanation 45","Example 45","Commerce"
"Commerce Word 46","ವಾಣಿಜ್ಯ ಪದ 46","Commerce Word 46","ವಿವರಣೆ 46","Explanation 46","Example 46","Commerce"
"Commerce Word 47","ವಾಣಿಜ್ಯ ಪದ 47","Commerce Word 47","ವಿವರಣೆ 47","Explanation 47","Example 47","Commerce"
"Commerce Word 48","ವಾಣಿಜ್ಯ ಪದ 48","Commerce Word 48","ವಿವರಣೆ 48","Explanation 48","Example 48","Commerce"
"Commerce Word 49","ವಾಣಿಜ್ಯ ಪದ 49","Commerce Word 49","ವಿವರಣೆ 49","Explanation 49","Example 49","Commerce"
"Commerce Word 50","ವಾಣಿಜ್ಯ ಪದ 50","Commerce Word 50","ವಿವರಣೆ 50","Explanation 50","Example 50","Commerce"
"Commerce Word 51","ವಾಣಿಜ್ಯ ಪದ 51","Commerce Word 51","ವಿವರಣೆ 51","Explanation 51","Example 51","Commerce"
"Commerce Word 52","ವಾಣಿಜ್ಯ ಪದ 52","Commerce Word 52","ವಿವರಣೆ 52","Explanation 52","Example 52","Commerce"
"Commerce Word 53","ವಾಣಿಜ್ಯ ಪದ 53","Commerce Word 53","ವಿವರಣೆ 53","Explanation 53","Example 53","Commerce"
"Commerce Word 54","ವಾಣಿಜ್ಯ ಪದ 54","Commerce Word 54","ವಿವರಣೆ 54","Explanation 54","Example 54","Commerce"
"Commerce Word 55","ವಾಣಿಜ್ಯ ಪದ 55","Commerce Word 55","ವಿವರಣೆ 55","Explanation 55","Example 55","Commerce"
"Commerce Word 56","ವಾಣಿಜ್ಯ ಪದ 56","Commerce Word 56","ವಿವರಣೆ 56","Explanation 56","Example 56","Commerce"
"Commerce Word 57","ವಾಣಿಜ್ಯ ಪದ 57","Commerce Word 57","ವಿವರಣೆ 57","Explanation 57","Example 57","Commerce"
"Commerce Word 58","ವಾಣಿಜ್ಯ ಪದ 58","Commerce Word 58","ವಿವರಣೆ 58","Explanation 58","Example 58","Commerce"
"Commerce Word 59","ವಾಣಿಜ್ಯ ಪದ 59","Commerce Word 59","ವಿವರಣೆ 59","Explanation 59","Example 59","Commerce"
"Commerce Word 60","ವಾಣಿಜ್ಯ ಪದ 60","Commerce Word 60","ವಿವರಣೆ 60","Explanation 60","Example 60","Commerce"
"Commerce Word 61","ವಾಣಿಜ್ಯ ಪದ 61","Commerce Word 61","ವಿವರಣೆ 61","Explanation 61","Example 61","Commerce"
"Commerce Word 62","ವಾಣಿಜ್ಯ ಪದ 62","Commerce Word 62","ವಿವರಣೆ 62","Explanation 62","Example 62","Commerce"
"Commerce Word 63","ವಾಣಿಜ್ಯ ಪದ 63","Commerce Word 63","ವಿವರಣೆ 63","Explanation 63","Example 63","Commerce"
"Commerce Word 64","ವಾಣಿಜ್ಯ ಪದ 64","Commerce Word 64","ವಿವರಣೆ 64","Explanation 64","Example 64","Commerce"
"Commerce Word 65","ವಾಣಿಜ್ಯ ಪದ 65","Commerce Word 65","ವಿವರಣೆ 65","Explanation 65","Example 65","Commerce"
"Commerce Word 66","ವಾಣಿಜ್ಯ ಪದ 66","Commerce Word 66","ವಿವರಣೆ 66","Explanation 66","Example 66","Commerce"
"Commerce Word 67","ವಾಣಿಜ್ಯ ಪದ 67","Commerce Word 67","ವಿವರಣೆ 67","Explanation 67","Example 67","Commerce"
"Commerce Word 68","ವಾಣಿಜ್ಯ ಪದ 68","Commerce Word 68","ವಿವರಣೆ 68","Explanation 68","Example 68","Commerce"
"Commerce Word 69","ವಾಣಿಜ್ಯ ಪದ 69","Commerce Word 69","ವಿವರಣೆ 69","Explanation 69","Example 69","Commerce"
"Commerce Word 70","ವಾಣಿಜ್ಯ ಪದ 70","Commerce Word 70","ವಿವರಣೆ 70","Explanation 70","Example 70","Commerce"
"Commerce Word 71","ವಾಣಿಜ್ಯ ಪದ 71","Commerce Word 71","ವಿವರಣೆ 71","Explanation 71","Example 71","Commerce"
"Commerce Word 72","ವಾಣಿಜ್ಯ ಪದ 72","Commerce Word 72","ವಿವರಣೆ 72","Explanation 72","Example 72","Commerce"
"Commerce Word 73","ವಾಣಿಜ್ಯ ಪದ 73","Commerce Word 73","ವಿವರಣೆ 73","Explanation 73","Example 73","Commerce"
"Commerce Word 74","ವಾಣಿಜ್ಯ ಪದ 74","Commerce Word 74","ವಿವರಣೆ 74","Explanation 74","Example 74","Commerce"
"Commerce Word 75","ವಾಣಿಜ್ಯ ಪದ 75","Commerce Word 75","ವಿವರಣೆ 75","Explanation 75","Example 75","Commerce"
"Commerce Word 76","ವಾಣಿಜ್ಯ ಪದ 76","Commerce Word 76","ವಿವರಣೆ 76","Explanation 76","Example 76","Commerce"
"Commerce Word 77","ವಾಣಿಜ್ಯ ಪದ 77","Commerce Word 77","ವಿವರಣೆ 77","Explanation 77","Example 77","Commerce"
"Commerce Word 78","ವಾಣಿಜ್ಯ ಪದ 78","Commerce Word 78","ವಿವರಣೆ 78","Explanation 78","Example 78","Commerce"
"Commerce Word 79","ವಾಣಿಜ್ಯ ಪದ 79","Commerce Word 79","ವಿವರಣೆ 79","Explanation 79","Example 79","Commerce"
"Commerce Word 80","ವಾಣಿಜ್ಯ ಪದ 80","Commerce Word 80","ವಿವರಣೆ 80","Explanation 80","Example 80","Commerce"
"Commerce Word 81","ವಾಣಿಜ್ಯ ಪದ 81","Commerce Word 81","ವಿವರಣೆ 81","Explanation 81","Example 81","Commerce"
"Commerce Word 82","ವಾಣಿಜ್ಯ ಪದ 82","Commerce Word 82","ವಿವರಣೆ 82","Explanation 82","Example 82","Commerce"
"Commerce Word 83","ವಾಣಿಜ್ಯ ಪದ 83","Commerce Word 83","ವಿವರಣೆ 83","Explanation 83","Example 83","Commerce"
"Commerce Word 84","ವಾಣಿಜ್ಯ ಪದ 84","Commerce Word 84","ವಿವರಣೆ 84","Explanation 84","Example 84","Commerce"
"Commerce Word 85","ವಾಣಿಜ್ಯ ಪದ 85","Commerce Word 85","ವಿವರಣೆ 85","Explanation 85","Example 85","Commerce"
"Commerce Word 86","ವಾಣಿಜ್ಯ ಪದ 86","Commerce Word 86","ವಿವರಣೆ 86","Explanation 86","Example 86","Commerce"
"Commerce Word 87","ವಾಣಿಜ್ಯ ಪದ 87","Commerce Word 87","ವಿವರಣೆ 87","Explanation 87","Example 87","Commerce"
"Commerce Word 88","ವಾಣಿಜ್ಯ ಪದ 88","Commerce Word 88","ವಿವರಣೆ 88","Explanation 88","Example 88","Commerce"
"Commerce Word 89","ವಾಣಿಜ್ಯ ಪದ 89","Commerce Word 89","ವಿವರಣೆ 89","Explanation 89","Example 89","Commerce"
"Commerce Word 90","ವಾಣಿಜ್ಯ ಪದ 90","Commerce Word 90","ವಿವರಣೆ 90","Explanation 90","Example 90","Commerce"
"Commerce Word 91","ವಾಣಿಜ್ಯ ಪದ 91","Commerce Word 91","ವಿವರಣೆ 91","Explanation 91","Example 91","Commerce"
"Commerce Word 92","ವಾಣಿಜ್ಯ ಪದ 92","Commerce Word 92","ವಿವರಣೆ 92","Explanation 92","Example 92","Commerce"
"Commerce Word 93","ವಾಣಿಜ್ಯ ಪದ 93","Commerce Word 93","ವಿವರಣೆ 93","Explanation 93","Example 93","Commerce"
"Commerce Word 94","ವಾಣಿಜ್ಯ ಪದ 94","Commerce Word 94","ವಿವರಣೆ 94","Explanation 94","Example 94","Commerce"
"Commerce Word 95","ವಾಣಿಜ್ಯ ಪದ 95","Commerce Word 95","ವಿವರಣೆ 95","Explanation 95","Example 95","Commerce"
"Commerce Word 96","ವಾಣಿಜ್ಯ ಪದ 96","Commerce Word 96","ವಿವರಣೆ 96","Explanation 96","Example 96","Commerce"
"Commerce Word 97","ವಾಣಿಜ್ಯ ಪದ 97","Commerce Word 97","ವಿವರಣೆ 97","Explanation 97","Example 97","Commerce"
"Commerce Word 98","ವಾಣಿಜ್ಯ ಪದ 98","Commerce Word 98","ವಿವರಣೆ 98","Explanation 98","Example 98","Commerce"
"Commerce Word 99","ವಾಣಿಜ್ಯ ಪದ 99","Commerce Word 99","ವಿವರಣೆ 99","Explanation 99","Example 99","Commerce"
"Commerce Word 100","ವಾಣಿಜ್ಯ ಪದ 100","Commerce Word 100","ವಿವರಣೆ 100","Explanation 100","Example 100","Commerce"
"Commerce Word 101","ವಾಣಿಜ್ಯ ಪದ 101","Commerce Word 101","ವಿವರಣೆ 101","Explanation 101","Example 101","Commerce"
"Commerce Word 102","ವಾಣಿಜ್ಯ ಪದ 102","Commerce Word 102","ವಿವರಣೆ 102","Explanation 102","Example 102","Commerce"
"Commerce Word 103","ವಾಣಿಜ್ಯ ಪದ 103","Commerce Word 103","ವಿವರಣೆ 103","Explanation 103","Example 103","Commerce"
"Commerce Word 104","ವಾಣಿಜ್ಯ ಪದ 104","Commerce Word 104","ವಿವರಣೆ 104","Explanation 104","Example 104","Commerce"
"Commerce Word 105","ವಾಣಿಜ್ಯ ಪದ 105","Commerce Word 105","ವಿವರಣೆ 105","Explanation 105","Example 105","Commerce"
"Commerce Word 106","ವಾಣಿಜ್ಯ ಪದ 106","Commerce Word 106","ವಿವರಣೆ 106","Explanation 106","Example 106","Commerce"
"Commerce Word 107","ವಾಣಿಜ್ಯ ಪದ 107","Commerce Word 107","ವಿವರಣೆ 107","Explanation 107","Example 107","Commerce"
"Commerce Word 108","ವಾಣಿಜ್ಯ ಪದ 108","Commerce Word 108","ವಿವರಣೆ 108","Explanation 108","Example 108","Commerce"
"Commerce Word 109","ವಾಣಿಜ್ಯ ಪದ 109","Commerce Word 109","ವಿವರಣೆ 109","Explanation 109","Example 109","Commerce"
"Commerce Word 110","ವಾಣಿಜ್ಯ ಪದ 110","Commerce Word 110","ವಿವರಣೆ 110","Explanation 110","Example 110","Commerce"
"Commerce Word 111","ವಾಣಿಜ್ಯ ಪದ 111","Commerce Word 111","ವಿವರಣೆ 111","Explanation 111","Example 111","Commerce"
"Commerce Word 112","ವಾಣಿಜ್ಯ ಪದ 112","Commerce Word 112","ವಿವರಣೆ 112","Explanation 112","Example 112","Commerce"
"Commerce Word 113","ವಾಣಿಜ್ಯ ಪದ 113","Commerce Word 113","ವಿವರಣೆ 113","Explanation 113","Example 113","Commerce"
"Commerce Word 114","ವಾಣಿಜ್ಯ ಪದ 114","Commerce Word 114","ವಿವರಣೆ 114","Explanation 114","Example 114","Commerce"
"Commerce Word 115","ವಾಣಿಜ್ಯ ಪದ 115","Commerce Word 115","ವಿವರಣೆ 115","Explanation 115","Example 115","Commerce"
"Commerce Word 116","ವಾಣಿಜ್ಯ ಪದ 116","Commerce Word 116","ವಿವರಣೆ 116","Explanation 116","Example 116","Commerce"
"Commerce Word 117","ವಾಣಿಜ್ಯ ಪದ 117","Commerce Word 117","ವಿವರಣೆ 117","Explanation 117","Example 117","Commerce"
"Commerce Word 118","ವಾಣಿಜ್ಯ ಪದ 118","Commerce Word 118","ವಿವರಣೆ 118","Explanation 118","Example 118","Commerce"
"Commerce Word 119","ವಾಣಿಜ್ಯ ಪದ 119","Commerce Word 119","ವಿವರಣೆ 119","Explanation 119","Example 119","Commerce"
"Commerce Word 120","ವಾಣಿಜ್ಯ ಪದ 120","Commerce Word 120","ವಿವರಣೆ 120","Explanation 120","Example 120","Commerce"
"Commerce Word 121","ವಾಣಿಜ್ಯ ಪದ 121","Commerce Word 121","ವಿವರಣೆ 121","Explanation 121","Example 121","Commerce"
"Commerce Word 122","ವಾಣಿಜ್ಯ ಪದ 122","Commerce Word 122","ವಿವರಣೆ 122","Explanation 122","Example 122","Commerce"
"Commerce Word 123","ವಾಣಿಜ್ಯ ಪದ 123","Commerce Word 123","ವಿವರಣೆ 123","Explanation 123","Example 123","Commerce"
"Commerce Word 124","ವಾಣಿಜ್ಯ ಪದ 124","Commerce Word 124","ವಿವರಣೆ 124","Explanation 124","Example 124","Commerce"
"Commerce Word 125","ವಾಣಿಜ್ಯ ಪದ 125","Commerce Word 125","ವಿವರಣೆ 125","Explanation 125","Example 125","Commerce"
"Commerce Word 126","ವಾಣಿಜ್ಯ ಪದ 126","Commerce Word 126","ವಿವರಣೆ 126","Explanation 126","Example 126","Commerce"
"Commerce Word 127","ವಾಣಿಜ್ಯ ಪದ 127","Commerce Word 127","ವಿವರಣೆ 127","Explanation 127","Example 127","Commerce"
"Commerce Word 128","ವಾಣಿಜ್ಯ ಪದ 128","Commerce Word 128","ವಿವರಣೆ 128","Explanation 128","Example 128","Commerce"
"Commerce Word 129","ವಾಣಿಜ್ಯ ಪದ 129","Commerce Word 129","ವಿವರಣೆ 129","Explanation 129","Example 129","Commerce"
"Commerce Word 130","ವಾಣಿಜ್ಯ ಪದ 130","Commerce Word 130","ವಿವರಣೆ 130","Explanation 130","Example 130","Commerce"
"Commerce Word 131","ವಾಣಿಜ್ಯ ಪದ 131","Commerce Word 131","ವಿವರಣೆ 131","Explanation 131","Example 131","Commerce"
"Commerce Word 132","ವಾಣಿಜ್ಯ ಪದ 132","Commerce Word 132","ವಿವರಣೆ 132","Explanation 132","Example 132","Commerce"
"Commerce Word 133","ವಾಣಿಜ್ಯ ಪದ 133","Commerce Word 133","ವಿವರಣೆ 133","Explanation 133","Example 133","Commerce"
"Commerce Word 134","ವಾಣಿಜ್ಯ ಪದ 134","Commerce Word 134","ವಿವರಣೆ 134","Explanation 134","Example 134","Commerce"
"Commerce Word 135","ವಾಣಿಜ್ಯ ಪದ 135","Commerce Word 135","ವಿವರಣೆ 135","Explanation 135","Example 135","Commerce"
"Commerce Word 136","ವಾಣಿಜ್ಯ ಪದ 136","Commerce Word 136","ವಿವರಣೆ 136","Explanation 136","Example 136","Commerce"
"Commerce Word 137","ವಾಣಿಜ್ಯ ಪದ 137","Commerce Word 137","ವಿವರಣೆ 137","Explanation 137","Example 137","Commerce"
"Commerce Word 138","ವಾಣಿಜ್ಯ ಪದ 138","Commerce Word 138","ವಿವರಣೆ 138","Explanation 138","Example 138","Commerce"
"Commerce Word 139","ವಾಣಿಜ್ಯ ಪದ 139","Commerce Word 139","ವಿವರಣೆ 139","Explanation 139","Example 139","Commerce"
"Commerce Word 140","ವಾಣಿಜ್ಯ ಪದ 140","Commerce Word 140","ವಿವರಣೆ 140","Explanation 140","Example 140","Commerce"
"Commerce Word 141","ವಾಣಿಜ್ಯ ಪದ 141","Commerce Word 141","ವಿವರಣೆ 141","Explanation 141","Example 141","Commerce"
"Commerce Word 142","ವಾಣಿಜ್ಯ ಪದ 142","Commerce Word 142","ವಿವರಣೆ 142","Explanation 142","Example 142","Commerce"
"Commerce Word 143","ವಾಣಿಜ್ಯ ಪದ 143","Commerce Word 143","ವಿವರಣೆ 143","Explanation 143","Example 143","Commerce"
"Commerce Word 144","ವಾಣಿಜ್ಯ ಪದ 144","Commerce Word 144","ವಿವರಣೆ 144","Explanation 144","Example 144","Commerce"
"Commerce Word 145","ವಾಣಿಜ್ಯ ಪದ 145","Commerce Word 145","ವಿವರಣೆ 145","Explanation 145","Example 145","Commerce"
"Commerce Word 146","ವಾಣಿಜ್ಯ ಪದ 146","Commerce Word 146","ವಿವರಣೆ 146","Explanation 146","Example 146","Commerce"
"Commerce Word 147","ವಾಣಿಜ್ಯ ಪದ 147","Commerce Word 147","ವಿವರಣೆ 147","Explanation 147","Example 147","Commerce"
"Commerce Word 148","ವಾಣಿಜ್ಯ ಪದ 148","Commerce Word 148","ವಿವರಣೆ 148","Explanation 148","Example 148","Commerce"
"Commerce Word 149","ವಾಣಿಜ್ಯ ಪದ 149","Commerce Word 149","ವಿವರಣೆ 149","Explanation 149","Example 149","Commerce"
"Commerce Word 150","ವಾಣಿಜ್ಯ ಪದ 150","Commerce Word 150","ವಿವರಣೆ 150","Explanation 150","Example 150","Commerce"
"Commerce Word 151","ವಾಣಿಜ್ಯ ಪದ 151","Commerce Word 151","ವಿವರಣೆ 151","Explanation 151","Example 151","Commerce"
"Commerce Word 152","ವಾಣಿಜ್ಯ ಪದ 152","Commerce Word 152","ವಿವರಣೆ 152","Explanation 152","Example 152","Commerce"
"Commerce Word 153","ವಾಣಿಜ್ಯ ಪದ 153","Commerce Word 153","ವಿವರಣೆ 153","Explanation 153","Example 153","Commerce"
"Commerce Word 154","ವಾಣಿಜ್ಯ ಪದ 154","Commerce Word 154","ವಿವರಣೆ 154","Explanation 154","Example 154","Commerce"
"Commerce Word 155","ವಾಣಿಜ್ಯ ಪದ 155","Commerce Word 155","ವಿವರಣೆ 155","Explanation 155","Example 155","Commerce"
"Commerce Word 156","ವಾಣಿಜ್ಯ ಪದ 156","Commerce Word 156","ವಿವರಣೆ 156","Explanation 156","Example 156","Commerce"
"Commerce Word 157","ವಾಣಿಜ್ಯ ಪದ 157","Commerce Word 157","ವಿವರಣೆ 157","Explanation 157","Example 157","Commerce"
"Commerce Word 158","ವಾಣಿಜ್ಯ ಪದ 158","Commerce Word 158","ವಿವರಣೆ 158","Explanation 158","Example 158","Commerce"
"Commerce Word 159","ವಾಣಿಜ್ಯ ಪದ 159","Commerce Word 159","ವಿವರಣೆ 159","Explanation 159","Example 159","Commerce"
"Commerce Word 160","ವಾಣಿಜ್ಯ ಪದ 160","Commerce Word 160","ವಿವರಣೆ 160","Explanation 160","Example 160","Commerce"
"Commerce Word 161","ವಾಣಿಜ್ಯ ಪದ 161","Commerce Word 161","ವಿವರಣೆ 161","Explanation 161","Example 161","Commerce"
"Commerce Word 162","ವಾಣಿಜ್ಯ ಪದ 162","Commerce Word 162","ವಿವರಣೆ 162","Explanation 162","Example 162","Commerce"
"Commerce Word 163","ವಾಣಿಜ್ಯ ಪದ 163","Commerce Word 163","ವಿವರಣೆ 163","Explanation 163","Example 163","Commerce"
"Commerce Word 164","ವಾಣಿಜ್ಯ ಪದ 164","Commerce Word 164","ವಿವರಣೆ 164","Explanation 164","Example 164","Commerce"
"Commerce Word 165","ವಾಣಿಜ್ಯ ಪದ 165","Commerce Word 165","ವಿವರಣೆ 165","Explanation 165","Example 165","Commerce"
"Commerce Word 166","ವಾಣಿಜ್ಯ ಪದ 166","Commerce Word 166","ವಿವರಣೆ 166","Explanation 166","Example 166","Commerce"
"Commerce Word 167","ವಾಣಿಜ್ಯ ಪದ 167","Commerce Word 167","ವಿವರಣೆ 167","Explanation 167","Example 167","Commerce"
"Commerce Word 168","ವಾಣಿಜ್ಯ ಪದ 168","Commerce Word 168","ವಿವರಣೆ 168","Explanation 168","Example 168","Commerce"
